title,content,tokens
Page 181,"Staying Out of Trouble 153 class DocumentIdentifier # Code omitted... def hash folder.hash ^ name.hash end def eql?(other) return false unless other.instance_of?(self.class) folder == other.folder && name == other.name end end In the code above, the hash method combines the hash codes from the two fields using the exclusive or operator ^: Doing this is a simple way of creating a very thor- ough mishmash of the two numbers, which is exactly what we are looking for in a hash.The other thing to notice in this code is that thel? method takes a very restric- tiveviewofequality.Accordingtothe eql?,onlyotherinstancesof DocumentIdentifier can be equal: Getting your objects to work as hash table keys is no time to be imagi- native about cross-class equality. Staying Out of Trouble Making equality work can be painful. There are, however, things that you can do to minimize the pain. The best thing is to avoid the suffering all together. Given how easy it is to screw up when you start messing with object equality, your first rule should be: If it ain’t broke—or used—don’t fix it. Many objects will never find them- selves in the middle of an equality expression or be called upon to be a hash key. If you have an object like this, then just leave its equality methods alone. Even if you do need to implement some or all of the equality methods, you might be able to lean on someone else’s work.5If you’re defining a class that is mostly a wrap- per for some other object, consider borrowing the equality methods from that other object. For example, if you are building a class that wraps an array, you just might be able to delegate to the array’s equality methods: 5. According to the American screenwriter Aaron Sorkin, good writers borrow from other writers. Great writers steal from them outright. Apparently Sorkin stole this line from Oscar Wilde.",331
Page 182,"154 Chapter 12. Create Classes That Understand Equality class DisArray attr_reader :my_array def initialize @my_array = [] end def ==(other) return false unless other.kind_of?(DisArray) @my_array == other.my_array end def eql?(other) return false unless other.kind_of?(DisArray) @my_array.eql?( other.my_array ) end def hash @my_array.hash end # Rest of the class omitted... end Finally, if you do need to write your own equality methods, do the simplest thing that will work. If you don’t have to support equality across different classes, then don’t. A limited, but working implementation is better than an elaborate and subtly broken one. In the Wild Ruby’s built-in numeric classes do a bit of equality slight of hand right under your nose. A little exploration will show that integers (that is, instances ofm or Bignum ) will accept instanceFloat as equals, at least according to==hmethod. Thus, if you run: puts 1 == 1.0 # A Fixnum and a Float",164
Page 183,"In the Wild 155 You will see tha1is in fac== to1.0 . Ruby does this by converting tFixnum to a Float before doing the comparison. Classes likeloat and Fixnum, classes whose instances have a natural ordering, can add one additional twist to the equality saga in the form<=> therator. The expression: a <=> b Should evaluate to-1ifa is less thab 0 if they are equal, a1difais greater than b. The <=> is a boon when you are trying to sort a collection of objects. If you find yourself needing to implement<=>, keep in mind that=> should be consistent with ==. That is, a <=> b evaluates to zero, tha == b should be true. The good news is that Ruby actually supplies a mixin module (see Chapter 16 for more on mixin modules) to help you keep all of this straight. If you defineoperator for your class, and includeomparable, like this: class RomanNumerals include Comparable # Actual guts of the class omitted... def <=>(other) # Return -1, 0, or 1... end end Then Comparable will not only add a=method to your class, but also ,,>= , and >, all of which will rely on <=>rmethod to come up with the right answer. Ruby classes—those objects that are instances ofs —have their own twist on the triple equality method: Classes trea===hethod as an alias fkind_of? .This is so that you can pick out the class of an object case statement, like so: the_object = 3.14159 case the_object when String puts ""it's a string""",247
Page 184,"156 Chapter 12. Create Classes That Understand Equality when Float puts ""It's a float"" when Fixnum puts ""It's a fixnum"" else puts ""Dunno!"" end This is yet another asymmetric relationship: Althought === 1.0 is true,.0 === Float is not. Wrapping Up I sometimes think that you can divide software engineers into two classes: the opti- mists and those who have tangled with object equality. In my more optimistic moments I realize that while getting object equality right can be trying, it is certainly doable. The key to getting it right is to keep in mind that Ruby has a fairly fine- grained model of equality—we have the equal? method, strictly for object identity. We have the everyday equality method,==, and we also have th===method, which comes out mostly forcasestatements. We also haveql? , and its frihash , to cope with hash tables. Getting object equality right is all about understanding the differ- ences between all those methods and overriding the right ones.",161
Page 185,"C HAPTER 13 Get the Behavior You Need with Singleton and Class Methods Much of programming is about building models of the world. Social networking sys- tems model the relationships between people. Accounting systems model the flow of money. Flight simulations model airplanes in flight (or slamming into the ground if I’m at the controls). You can, in fact, look at all of object oriented programming as a support system for this kind of modeling. We build classes to describe groups of sim- ilar things, and we have instances to represent the things themselves. Usually, the class/instance approximation works fine: You define a class called American , and you define methods that indicate instances of this class like hamburg- ers and baseball. The problem is that the class/instance approximation is exactly that, an approximation. I am, for example, an American who does indeed like the occa- sional burger, but I can’t tell you the last time I willingly sat through a baseball game. What do you do when the central approximation of object oriented programming breaks down, when your instance does not want to follow the rules laid down by its class? In this chapter we will look at Ruby’s answer to this question: the singleton method. We will see how singleton methods allow you to produce objects with an independent streak, objects whose behavior is not completely controlled by their class. We will also see how class methods are actually just singleton methods by another name. 157",254
Page 186,"158 Chapter 13. Get the Behavior You Need with Singleton and Class Methods A Stubby Puzzle Let’s start with a question. Recall that back in Chapter 9 we saw how RSpec made it easy to create stub objects, those stand-ins for real objects that make writing tests less of a pain. We saw that if, inside of a spec, you did something like this: stub_printer = stub :available? => true, :render => nil You would end up, in the form ostub_printer , with an object having two methods, available? and render: stub_printer.available? # Always returns true stub_printer.render # Always returns nil We also saw in Chapter 9 that RSpec doesn’t limit you to one stub object at a time, so you could easily conjure up a second stub, perhaps for a font: stub_font = stub :size => 14, :name => 'Courier' Now for the question: If you look at the classes of these two stub objects: puts stub_printer.class puts stub_font.class You will discover that they are one and the same: Spec::Mocks::Mock Spec::Mocks::Mock How is this possible? After all, the printer object supports different methods than the font object. How could they both be of the same class? The answer is that thevailable? and render methods on the printer instance, as well as theze and name methods on the font instance, are singleton methods. In 1 Ruby, a singleton method is a method that is defined for exactly one object instance. 1. Let me also hasten to add that the term “singleton” as it is used here has nothing to do with the Singleton Pattern of design patterns fame. It’s just an unfortunate collision of terminology. If you feel a bit put out by this, consider the plight of the guy who wrote the Ruby design patterns book.",303
Page 187,"A Stubby Puzzle 159 It’s as though Ruby objects can declare independence from their class and say, “Yeah, I know that no otherSpec::Mocks::Mock instance has aavailable? method, but I’m special.” You can hang a singleton method on just about any object at any time. The mechanics of defining singleton methods are really pretty simple: Instead of saying def method_name as you would to define a regular garden-variety method, you define a singleton method withdef instance.method_name . If, for example, you wanted to create your own stub printer by hand, you could say this: hand_built_stub_printer = Object.new def hand_built_stub_printer.available? true end def hand_built_stub_printer.render( content ) nil end You could then callhand_built_stub_printer.available? and render. Singleton methods are in all respects ordinary methods: They can accept arguments, return val- ues, and do anything else that a regular method can do.The only difference is that sin- gleton methods are stuck to a single object instance. Singleton methods override any regular, class-defined methods. For example, if you run the (admittedly more fun than useful) code shown here: uncooperative = ""Don't ask my class"" def uncooperative.class ""I'm not telling"" end puts uncooperative.class 2. Well, any object except for instances of the numeric classes and symbols, neither of which sup- ports singleton methods.",230
Page 188,"160 Chapter 13. Get the Behavior You Need with Singleton and Class Methods You will see: I'm not telling There is also an alternative syntax for defining singleton methods, one that can be less bulky if you are creating a lot of methods: hand_built_stub_printer = Object.new class << hand_built_stub_printer def available? # A singleton method true end def render # Another one nil end end Either way you say it, you end up with the same singleton methods. A Hidden, but Real Class So how does Ruby pull off the singleton method trick? The key is that every Ruby object carries around an additional, somewhat shadowy class of its own. As you can see in Figure 13-1, this more or less secret class—the singleton class—sits between 3 every object and its regular class. The singleton class starts out as just a methodless shell and is therefore pretty invisible.t’s only when you add something to it that the singleton class steps out of the shadows and makes its existence felt. Since it sits directly above the instance, the singleton class has the first say on how the object is going to behave, which is why methods defined in the singleton class will win out over methods defined in the object’s regular class, and in the superclasses. 3. Singleton classes are also known as metaclasses or eigenclasses. Although terminology is mostly in the ear of the beholder, I like the more descriptive and less pretentious “'singleton.” 4. In fact, since the average Ruby object never uses its singleton class, Ruby implementations will typically delay creating the singleton classes until they are actually needed. This is, however, just an implementation issue. If you do look, the singleton class will always be there for you.",298
Page 189,"A Hidden, but Real Class 161 Object <Singleton Class> stub_printer (instance) Figure 13-1 The singleton class Don’t think that the singleton class is just a convenient fiction, either.There really is an actual Ruby class hidden in there. You can even get hold of the singleton class, like this: singleton_class = class << hand_built_stub_printer self end The code shown here may look bizarre, but it is straightforward: When you do the class << hand_built_stub_printer , you change context so that self is the single- ton class. Since class definitions, like most Ruby expressions, return the last thing they evaluate, simply stickingself inside the class definition causes the whole class state- ment to return the singleton class.",124
Page 190,"162 Chapter 13. Get the Behavior You Need with Singleton and Class Methods Class Methods: Singletons in Plain Sight A common programmer reaction when bumping into singleton methods for the first time is to dismiss them as an interesting but mostly useless feature. After all, outside of a few specialized cases such as stubs and mocks, why bother building classes of con- sistent behavior only to override that behavior with a singleton method? In fact, this sensible, pragmatic assessment turns out to be completely mistaken. There is one par- ticular application of singleton methods that is so pervasive that it is practically impos- sible to build a Ruby program without it. We even have a special name for these ubiquitous singleton methods, class methods. To see how class methods are actually singleton methods in disguise, let’s build another singleton method, this time one that prints out some interesting information about its host object: my_object = Document.new('War and Peace', 'Tolstoy', 'All happy families...') def my_object.explain puts ""self is #{self}"" puts ""and its class is #{self.class}"" end my_object.explain Run the code above and you will get output that looks something like this: self is #<Document:0xb7bc2ca0> and its class is Document No surprise here, we are just traveling over ground that we covered earlier. Next, how- ever, comes the twist: What if, instead of an instance ofment , we defined the explain method on the Document class itself? my_object = Document def my_object.explain puts ""self is #{self}""",259
Page 191,"Class Methods: Singletons in Plain Sight 163 puts ""and its class is #{self.class}"" end my_object.explain Do that and you will get the following output: self is Document and its class is Class Sincemy_object is just a reference toment , we can also call thelain method like this: Document.explain We can also define thexplain method on Document explicitly: def Document.explain puts ""self is #{self}"" puts ""and its class is #{self.class}"" end If the code above looks familiar, it should, since it is a typical Ruby class method definition. It is also a singleton method definition! If you think about it, this all makes sense: Any given class, say,ment , is an instance ofss.This means that it inher- its all kinds of methods fromlass, methods likename and superclass . When we want to add a class method, we want that new method to exist only on the one class (Document in the example), not on all classes. Since the object that goes by the name of Document is an instance oClass, we need to create a method that exists only on the one object Document ) and not on any of the other instances of the same class. What we need is a singleton method. Once you get used to the idea that a class method is just a singleton method on an instance oflass, a lot of things that you learned in Ruby 101 start to make sense. For example, you will sometimes see the following syntax used to define class methods: class Document class << self def find_by_name( name )",267
Page 192,"164 Chapter 13. Get the Behavior You Need with Singleton and Class Methods # Find a document by name... end def find_by_id( doc_id ) # Find a document by id end end end This code only makes sense in light of the class method = singleton method equation: It is simply thelass << some_object syntax applied to thecument class. In the Wild Class methods abound in real Ruby programs. Class methods are the perfect home for the code that is related to a class but independent of any given instance of the class. For example, we’ve seen that each ActiveRecord model class is associated with a par- ticular table in the database. So that if you had this: class Author < ActiveRecord::Base end You would have a class that is associated with a database table. Which table? For that, you need to ask the class, not an instance: my_table_name = Author.table_name A common use for class methods is to provide alternative methods for construct- ing new instances. The Ruby libraDate class, for example, comes with a whole raft of class methods that create new instances. You can, for example, get a date from the year, the month, and the day: require 'date' xmas = Date.civil( 2010, 12, 25 ) Or by the year and the day of that year: xmas = Date.ordinal( 2010, 359 )",223
Page 193,"Staying Out of Trouble 165 Or by the day, the week number, and the day of the week: xmas = Date.commercial( 2010, 51, 6 ) If you have many different ways that you might create an object, a set of well- named class methods is generally clearer than making the user supply all sorts of clever arguments to the new method. Plain, nonclass singleton methods are as rare as class methods are common. In fact, their main use in real code is the one we explored earlier in this chapter, build- ing mocks and stubs for testing frameworks. Both RSpec and the Mocha framework that we looked at briefly in Chapter 9 use singleton methods to do their mocking magic. But don’t take my word for it, look for yourself: describe ""Singleton methods in stubs"" do it ""is just a demonstration of stubs as singleton methods"" do stub_printer = stub :available? => true, :render => nil pp stub_printer.singleton_methods end end This RSpec example creates our familiar stubbed-out printer and then uses sin- gleton_methods —part of the arsenal of every Ruby object—to print out a list of the names of all of the singleton methods. Run this spec and you will see: [:available?, :render] If you do the same kind of thing with the mocks and stubs created by the Mocha gem, you will discover that they too rely on singleton methods. Staying Out of Trouble Most of the problems you are likely to encounter with singleton methods, particularly in their role as class methods, will likely stem from simple confusion. Easiest to deal with is confusion over scope. Remember, when you define a class method, it is a method attached to a class. The instances of the class will not know anything about that method. Thus, if you define a class method on Document :",306
Page 194,"166 Chapter 13. Get the Behavior You Need with Singleton and Class Methods class Document def self.create_test_document( length ) Document.new( 'test', 'test', 'test ' * length ) end # ... end Then you can call that method via the class: book = Document.create_test_document( 10000 ) But Document instances are completely ignorant of tDocument class methods, so that this: longer_doc = book.create_test_document( 20000 ) Will give you this: NoMethodError: undefined method `create_test_document' for #<Document:0xb7cd7c6c> Well, perhaps not completely ignorant, since instances do know all about their classes: longer_doc = book.class.create_test_document( 20000 ) A bit more subtle is the confusion over the valselffduring the execution of a class method when you mix classes, subclasses, and class methods. To see what I mean, consider this simple pair of classes: class Parent def self.who_am_i puts ""The value of self is #{self}"" end end class Child < Parent end",156
Page 195,"Wrapping Up 167 Now, clearly, if you run Parent.who_am_i you would expect the following output: The value of self is Parent But what happens if you run Child.who_am_i ? The answer is thatself is always the thing before the period when you called the class method: The value of self is Child While this behavior can be a bit unsettling, it is actually the secret behind some very powerful Ruby metaprogramming techniques, techniques that we will take up in Chapter 26. Wrapping Up In this chapter we took a tour of singleton methods and learned how they work. We saw that singleton methods are great for those times when you need an object with some unique behavior. We saw that singleton methods are hidden inside the more or less secret singleton class that is part of most Ruby objects. We saw that the singleton class is a real class, one that you can actually get hold of. We saw how singleton meth- ods can really shine in testing, where they make it easy to construct stub and mock objects. But we also saw that the most common use of singleton methods is for class methods, which are just singleton methods defined on the instances of Class.",213
Page 196,This page intentionally left blank,9
Page 197,"C HAPTER 14 Use Class Instance Variables In the last chapter we saw how you can add methods to your classes, methods that concern themselves with the issues that affect a class as a whole. But wherever you have code, you’re going to want to have data, which raises the question of where to store your class-level data. In this chapter we will look at the two alternatives that Ruby gives us for storing class-level data, the class variable, and the class instance variable. We are going to start by looking at class variables, those Ruby things that start with @@ and seem to be the easy answer to storing your class-related information. Sadly, we will discover that class variables behave in some unfortunate ways, making them less of a solution and more of a problem. For a real solution to the problem of class-level data we will turn to a class instance variable, a slightly less obvious but much more practical solution. A Quick Review of Class Variables Imagine that we decide that our Document class needs some defaults. We want to be able to set a default paper size, either the U.S. letter-size paper that is popular in the United States or the similar A4 size that is in vogue almost everywhere else. Since any given user will consistently use either U.S. letter or A4, we want to be able to set the 1. Also imagine that, as usual, we have reset the Document class back to its primordial, Chapter 1 form. 169",257
Page 198,"170 Chapter 14. Use Class Instance Variables paper size at thDocument class level and have any document created from then on default to using that paper size. So how do you store information associated with a Ruby class? The obvious answer is to use a class variable. Class variables start with two @’s instead of one and are associated with a class instead of an ordinary instance. So here isDocument enhanced to use class variables to track its default paper size: class Document @@default_paper_size = :a4 def self.default_paper_size @@default_paper_size end def self.default_paper_size=(new_size) @@default_paper_size = new_size end attr_accessor :title, :author, :content attr_accessor :paper_size def initialize(title, author, content) @title = title @author = author @content = content @paper_size = @@default_paper_size end # Rest of the class omitted... end Our new document class starts out by setting the class variable@default_ paper_size to:a4. Since class variables are not visible to the outside world, we also supply a pair of accessor methods. A nice thing about class variables is that they are visible to instances of the class, so insinitialize method we can pick up the value of@@default_paper_size as the paper size for the new document. On the sur- face, the class variable seems like an ideal solution to our problem. But all is definitely not well.",235
Page 199,"Wandering Variables 171 Wandering Variables To understand the problem with class variables, we need to look at how they are resolved. As the name suggests, a class variable is one that is associated with a class. But which class? Therein lies a tale: When you say @@default_paper_size = :a4 , Ruby needs to figure out which class will provide the home for the @@default_ paper_size variable. Ruby starts by looking at the current class. Does the current class already have an @@default_paper_size class variable? If it does, then the search is over and the @@default_paper_size on the current class becomes :a4. Here’s where the story gets interesting: If the class variable is not defined in the current class, Ruby will go looking up the inheritance tree for it. So if there is no @@default_paper_size in the current class, Ruby will look for one in the superclass and then the super superclass, until it either find@@default_paper_size defined on one of those classes or runs out of classes. If Ruby does find@default_paper_size somewhere in the inheritance tree, that’s the one that gets set. If Ruby runs out of classes without finding@@default_paper_size , then it will create a new class variable in the current class. Looking up the value of a class variable works pretty much the same way. Ruby starts with the current class and looks up the inheritance tree; it either finds the variable or runs out of classes and throws aNameError exception. Superficially, this sounds very object oriented and reasonable.The problem is that this method for resolving class variables means they have a tendency to wander from class to class. To see what I mean, let’s play out a scenario very similar to our earlier paper size example, but with a very different—and unpleasant—outcome. Imagine your Document class has become so popular that a number of groups are building sys- tems that use it. In particular, one group is building an application that helps people write resumes. Since resumes are a very specific kind ofDocument , the resume group decides they need their own Document subclass: class Resume < Document @@default_font = :arial def self.default_font=(font) @@default_font = font end",384
Page 200,"172 Chapter 14. Use Class Instance Variables def self.default_font @@default_font end attr_accessor :font def initialize @font = @@default_font end # Rest of the class omitted... end The key feature of the resume class is that it defines a default font as a class vari- able, along with class methods to set and get the default font. Thinking about how class variables work, we know that when@default_font = :arial gets run, Ruby will look at theesume class, and then atcument , and right on up the inheritance tree. Finding no@@default_font defined anywhere, Ruby will se@@default_font on the Resume class. All very reasonable. Now imagine that there is a second group out there, one that is intent on inflict- ing yet another PowerPoint or KeyNote clone on the world. They too build a subclass ofDocument , and, since even mundane minds frequently think alike, they also have a default font class variable, although they pick a different font: class Presentation < Document @@default_font = :nimbus def self.default_font=(font) @@default_font = font end def self.default_font @@default_font end attr_accessor :font",189
Page 201,"Wandering Variables 173 def initialize @font = @@default_font end # Rest of the class omitted... end Again, no problem. When Ruby is confronted with@@default_font = :nimbus , it will look at tPresentation class (nope), and then atsume (no again), and so on, and eventually decide to attachefault_font to thePresentation class. Since therearetwo @@default_fonts,oneonthe Document classandoneonthe Presentation class, the two classes can live side by side in the same application with no problem. Now for the punch line: Ignorant of the goings onResume and Presentation , you decide to add a@@default_font class variable to yoDocument class: class Document @@default_font = :times # Rest of the class omitted... end The result of this simple change is that all Hell breaks loose. Here’s how: The Document class needs to be loaded befoResume and Presentation —it’s the super- class after all. This meansDocument class@@default_font will get set first, which means that whenever either of the subclasses goes looking forault_font , it will find the one iDocument . Remember, Ruby looks up the inheritance tree first. So your seemingly low-impact change to theocument class has changed the behavior of both subclasses. Instead of two separate default font variables, one Presentation and the other to Resume, there is now only one variable, one that lives up in the Document class. To see how nasty that is, consider that this: require 'document' require 'resume' # Load Resume first require 'presentation' # then Presentation",242
Page 202,"174 Chapter 14. Use Class Instance Variables Sets the default font for all documents to the Presentation class’s favorite font, :nimbus . But if you change the order of therequire statements: require 'document' require 'presentation' # Load Presentation first require 'resume' # then Resume Then the default font for all documents gets set t:arial . If this “It’s my variable!” versus “No! It’s mine!” argument sounds familiar, it should. This is exactly the kind of situation we run into with global variables—and is also the reason why coders got out of the global variable business a long time ago. The real problem with class variables is that they are not so much variables attached to a specific class as they are global variables with a slightly restricted realm. In fact, Rubyist David Black calls class variables “vertical global variables,” vertical in that they are restricted to a single inheritance tree and global in that they are very visible within that tree. Getting Control of the Data in Your Class Clearly, we need an alternative way of associating some data with a class, a technique that is more controllable than class variables. The more controllable alternative to the class variable is the class instance variable. The good news is that class instance vari- ables are not really a new thing.They are in fact garden-variety, single instance variables that happen to find themselves attached to a class object. To see how this might work, recall from the last chapter that inside a class method, self is always the class. Now ask yourself this: What would happen if you set an ordinary instance variable inside a class method? Perhaps like this: class Document @default_font = :times def self.default_font=(font) @default_font = font end def self.default_font @default_font end",303
Page 203,"Class Instance Variables and Subclasses 175 # Rest of the class omitted... end The answer is that since@default_font = font always sets an instance variable on self , thedefault_font= method above will set the@default_font instance vari- able on theDocument object. This means that armed with the code above we can now set our document-wide default font: Document.default_font = :arial To get at the Document default font, all you need to do is call the right class method, which is exactly what the Document initialize method does: def initialize(title, author) @title = title @author = author @font = Document.default_font end Class instance variables are a very Ruby solution to the problem holding onto classwide values. There is no extra syntax and no elaborate special case rules: @default_font is simply an instance variable on an object. The only remotely inter- esting thing here is that the object happens to be a class. Class Instance Variables and Subclasses To paraphrase my mother, it’s all fun and games until someone starts writing sub- classes. Recall that we didn’t have any problems with the@@ class variables until we started messing with subclasses. That was when the class variables started wandering from class to class. Do class instance variables fare any better when the subclasses start flying? The short answer is that class instance variables do just fine with subclasses.To see how, imagine that we have our Presentation subclass and,Presentation has its own idea of a default font: class Presentation < Document @default_font = :nimbus",259
Page 204,"176 Chapter 14. Use Class Instance Variables class << self attr_accessor :default_font end def initialize(title, author) @title = title @author = author @font = Presentation.default_font end # most of the class omitted... end What this code does is create a second class instance variable, this time attached to thePresentation class. Theresentation @default_font is completely separate from the Document @default_font , and as long as you are careful with which one you are talking about,resentation.default_font or Document.default_font , life will be good. Adding Some Convenience to Your Class Instance Variables Since class instance variables are just plain old instance variables that happen to be hanging off a class object, we can use all our Ruby trickery to make living with them more pleasant. For example, there is no reason for us to be writing those boring default_font getter and setter methods given that Ruby supplies us with the nice attr_accessor for just such occasions. So how do you uattr_accessor to get at a class instance variable? After all, if you just do this: class Document attr_accessor :default_font end You end up being able to get and set an instance variable cadefault_font . Fortunately, we already have the answer. Remember that class methods are just sin- gleton methods on a class object.The trick to defining class-level attributes is to make self be theDocument singleton class first:",237
Page 205,"In the Wild 177 class Document @default_font = :times class << self attr_accessor :default_font end # Rest of the class omitted... end Run this code and you will end up with aDocument class that has a couple of class methods, one to get the default font and the other to set it. In the Wild Examples of class instance variables are easy to find in the Ruby code base. For exam- ple, most Rails programmers know how to set up callbacks, methods that get called at particular moments in the life of their ActiveRecord objects. Here, for example, is a class that has arranged for handle_after_save method to get called just after a Person instance is saved into the database: class Person < ActiveRecord::Base after_save :handle_after_save def handle_after_save # Do something after the record is saved... end end Clearly, the fact that we do handle_after_save called after each record save is an attribute of theson class, and that is where ActiveRecord saves this informa- tion. Poke around in ActiveRecord and you will find a class instance variable called @after_save_callbacks . Nor is @after_save_callbacks lonely. Dig into ActiveRecord a bit more and you will find a number of similar class instance variables with names like@after_update_callbacks and @after_validation_callbacks . Despite the amount of space I’ve used in this chapter to cast aspersions on class variables, people do use them successfully. For example, the URI class that comes with",255
Page 206,"178 Chapter 14. Use Class Instance Variables your Ruby install and enables you to make sense of things like “http://russolsen.com” and “sendto:russ@russolsen.com” uses an@@ variable quite happily. When you say something like this: my_uri = URI.parse('http://www.russolsen.com') The parse method will consult @@schemes , which is a hash that maps each URI scheme— 'http' in this case—to the class that knows how to parse URIs with that scheme. The interesting part of@schemes is the way it gets filled in. Initially, the basic URI code simply sets@schemes to an empty hash: @@schemes = {} Then the classes that know how to parse the different flavors of URIs get loaded. The last thing each of these classes does is add itself to the master list of schemes, so that inuri/http.rb you will find: class HTTP # Lots of code omitted... end @@schemes['HTTP'] = HTTP While in uri/sendto.rb you will see: class MailTo # Lots of code omitted... end @@schemes['MAILTO'] = MailTo One other interesting thing about URI is thatschemes is not actually a class variable—it is in fact a module variable. Ruby modules are a bit like stunted classes, but in the same way that you can hang class variables on classes, you can stick mod- ule variables on modules. So if we pull back the camera on the URI code, we see: module URI # ...",237
Page 207,"Wrapping Up 179 @@schemes = {} end module URI class HTTP # Lots of code omitted... end @@schemes['HTTP'] = HTTP end We will be seeing a lot more of modules in Chapters 15 and 16. Staying Out of Trouble The URI code avoids ending up in class variable Hell by setting @@schemes variable very early on, before any of the individual scheme-parsing code gets loaded. This ensures that there is a sin@@schemes variable and that it is properly attached to the URI module where it belongs. If you must use class variables, then this is a good strat- egy. A better strategy is to reread the title of this chapter and stick to class instance variables. Wrapping Up One of the joys of using Ruby is how well the language adheres to the principal of least surprise: If you are wondering how to do something, there’s a good chance that your first guess will be correct. Still no language is perfect, and Ruby does harbor a few 2 unfortunate design decisions.The class variable would get my vote as the most unfor- tunate Ruby feature of all: Class variables seem designed to trip up newcomers to Ruby and even manage to surprise experienced Ruby developers on occasion. The good news is that class instance variables are just waiting there to fill in. 2. Yes, that’s the word.",226
Page 208,This page intentionally left blank,9
Page 209,"C HAPTER 15 Use Modules as Name Spaces There comes a time when every successful software project outgrows its shoes: You start with a simple utility, something that fits in one source file and that you can explain in a single elevator ride. Sprinkle in some success in the form of eager—and demanding—users, and before you know it you end up with a mass of code that you couldn’t describe on a Washington to Tokyo flight, complete with the stopover in Chicago. This is why big programs usually look a bit different from little programs. That original, elevator-sized utility needs very minimal defenses against complexity, perhaps a few comments and some well-named methods. It’s the massive, trans-Pacific systems that need to pull out every complexity-reducing trick in the book to give the engi- neers that work on it a fighting chance. In this chapter we will look at one of those tricks, using modules to organize your classes and constants (and modules) into a nice, human brain-friendly hierarchy. A Place for Your Stuff, with a Name Sometimes even the most complicated things can start to seem simple if we hang around them long enough. Take the idea of a class. We generally think of the class as a simple, more or less indivisible thing. Step back a bit and you realize that classes are 1. This book, of course. 181",235
Page 210,"182 Chapter 15. Use Modules as Name Spaces actually a conglomeration of several different ideas.They are the factories that produce our objects—you say Date.new and theDate class manufactures a new instance for you. But classes are also containers. Most of the effort that goes into creating a new class actually goes into putting things like methods and constants into the class. A Ruby module is the container part of a class without the factory. You can’t instantiate a module, but you can put things inside of a module. Modules can hold methods, constants, classes, and even other modules. Here, for example, is a module that groups together a couple of related classes: module Rendering class Font attr_accessor :name, :weight, :size def initialize( name, weight=:normal, size=10 ) @name = name @weight = weight @size = size end # Rest of the class omitted... end class PaperSize attr_accessor :name, :width, :height def initialize( name='US Let', width=8.5, height=11.0 ) @name = name @width = width @height = height end # Rest of the class omitted... end end Getting at the classes in a module is as simple as pasting the module name on the front of the class name with a couple of colons.To get at that font class above you just sayRendering::Font . Wrapping a module around your classes in this way gives you a couple of advantages. It allows you to group together related classes. Looking at the last example leaves you with no doubt thatFont and PaperSize classes have some-",251
Page 211,"A Place for Your Stuff, with a Name 183 thing to do witRendering . Second, when you put theFontclass inside of a module, you are dramatically reducing the probability that Font class and someone else’s Font class will be injured in a name collision. Modules can also hold constants, so we might add a default font and paper size to ourRendering module: module Rendering # Font and PaperSize classes omitted... DEFAULT_FONT = Font.new( 'default' ) DEFAULT_PAPER_SIZE = PaperSize.new end You can access your constants in the same way that you access the classes, so that the default paper size becomRendering::DEFAULT_PAPER_SIZE . If you get tired of all thisender:: typing, you can include the module: include Rendering puts ""The default paper height is #{DEFAULT_PAPER_SIZE.height}"" Finally, modules can be nested, so that if your rendering module was, say, part of some larger word-processing package, you might have: module WordProcessor module Rendering class Font # Guts of class omitted... end # and so on... end end 2. In fact, since class names are constants, it’s a very close match. 3. But see the next chapter for the full implications of including a module.",196
Page 212,"184 Chapter 15. Use Modules as Name Spaces Naturally, if you do nest your modules you will need to dig deeper to find the stuff inside: Nest tFont class two modules deep and you will either have to include the WordProcessor::Rendering module or utterWordProcessor::Rendering::Font in one breath. A Home for Those Utility Methods Along with classes and constants and other modules, you can use modules to enclose individual methods. Modules make great homes for those pesky methods that just don’t seem to fit anywhere else. For example, the printing business has traditionally used a unit of length called the point, where 72 points will fit into an inch. We can certainly imagine that our document code might need a couple of unit conversion methods to deal with points, and a convenient place to put these might be the WordProcessor module: module WordProcessor def self.points_to_inches( points ) points / 72.0 end def self.inches_to_points( inches ) inches * 72.0 end # Rest of the module omitted end Notice that we wrote the two conversion methods as module-level methods. Defining them this way—analogous to class-level methods—allows us to call them directly from the module: an_inch_full_of_points = WordProcessor.inches_to_points( 1.0 ) 4. Well, about 72. The actual size of the point has varied with time and geography, but the modern value has settled on 1/72 of an inch or about 0.353 mm.",233
Page 213,"Building Modules a Little at a Time 185 We can also get at module-level methods with the double-colon syntax (that is WordProcessor::inches_to_points ), but generally Ruby programmers tend to stick to the period. Building Modules a Little at a Time Don’t let thend at the bottom of a module fool you. As we will see in Chapter 24, nothing is Ruby is ever really done. One of the most visible aspects of this “always open” policy is that you can define your modules in several pieces, spread over a num- ber of source files. The first file defines the module and the rest of the files simply add to it. So, returning to our first, single-leveling module example, we might have theFont class inont.rb : module Rendering class Font # Bulk of class omitted... end DEFAULT_FONT = Font.new( 'default' ) end And the PaperSize class inaper_size.rb : module Rendering class PaperSize # Bulk of class omitted... end DEFAULT_PAPER_SIZE = PaperSize.new end If we then pull both files into our Ruby interpreter withrequirelstatements: require 'font' require 'paper_size' We will have a singlRendering module, complete with fonts and paper sizes.",195
